"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000190","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"HMDB0000700","Hydroxypropionic acid","HMDB0000700","68152","C01013","OCCC(O)=O","1"
"HMDB0001051","Glyceraldehyde","HMDB0001051","751","C02154","OCC(O)C=O","1"
"HMDB0001311","D-Lactic acid","HMDB0001311","61503","C00256","C[C@@H](O)C(O)=O","1"
"HMDB0001882","Dihydroxyacetone","HMDB0001882","670","C00184","OCC(=O)CO","1"
"HMDB0003328","NA","NA","NA","NA","NA","0"
"HMDB0029580","Dimethyl carbonate","HMDB0029580","12021",NA,"COC(=O)OC","1"
"HMDB0031232","Monoethyl carbonate","HMDB0031232","105349",NA,"CCOC(O)=O","1"
"HMDB0041929","NA","NA","NA","NA","NA","0"
"HMDB0062492","NA","NA","NA","NA","NA","0"
"HMDB0144295","NA","NA","NA","NA","NA","0"
"CHEBI:132098","NA","NA","NA","NA","NA","0"
"CHEBI:16016","NA","NA","NA","NA","NA","0"
"CHEBI:17378","NA","NA","NA","NA","NA","0"
"CHEBI:27975","NA","NA","NA","NA","NA","0"
"CHEBI:33404","NA","NA","NA","NA","NA","0"
"CHEBI:36596","NA","NA","NA","NA","NA","0"
"CHEBI:38043","NA","NA","NA","NA","NA","0"
"CHEBI:42111","NA","NA","NA","NA","NA","0"
"CHEBI:422","NA","NA","NA","NA","NA","0"
"CHEBI:50849","NA","NA","NA","NA","NA","0"
"CHEBI:5445","NA","NA","NA","NA","NA","0"
"CHEBI:78320","NA","NA","NA","NA","NA","0"
"C00059","NA","NA","NA","NA","NA","0"
"HMDB0001448","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"CHEBI:26836","NA","NA","NA","NA","NA","0"
"C07273","NA","NA","NA","NA","NA","0"
"C11103","NA","NA","NA","NA","NA","0"
"HMDB0030276","(R)-Dihydromaleimide","HMDB0030276","353549",NA,"OC1C=CC(O)=N1","1"
"CHEBI:22663","NA","NA","NA","NA","NA","0"
"CHEBI:32464","NA","NA","NA","NA","NA","0"
"CHEBI:32468","NA","NA","NA","NA","NA","0"
"CHEBI:51928","NA","NA","NA","NA","NA","0"
"CHEBI:5827","NA","NA","NA","NA","NA","0"
"CHEBI:61888","NA","NA","NA","NA","NA","0"
"CHEBI:9307","NA","NA","NA","NA","NA","0"
"C00334","NA","NA","NA","NA","NA","0"
"C01026","NA","NA","NA","NA","NA","0"
"C01205","NA","NA","NA","NA","NA","0"
"C02261","NA","NA","NA","NA","NA","0"
"C02356","NA","NA","NA","NA","NA","0"
"C02721","NA","NA","NA","NA","NA","0"
"C03284","NA","NA","NA","NA","NA","0"
"C03665","NA","NA","NA","NA","NA","0"
"C05145","NA","NA","NA","NA","NA","0"
"C11109","NA","NA","NA","NA","NA","0"
"C11735","NA","NA","NA","NA","NA","0"
"C19514","NA","NA","NA","NA","NA","0"
"HMDB0000092","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(O)=O","1"
"HMDB0000112","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"HMDB0000452","L-alpha-Aminobutyric acid","HMDB0000452","80283","C02356","CC[C@H](N)C(O)=O","1"
"HMDB0000485","NA","NA","NA","NA","NA","0"
"HMDB0000581","NA","NA","NA","NA","NA","0"
"HMDB0000650","D-alpha-Aminobutyric acid","HMDB0000650","439691","C02261","CC[C@@H](N)C(O)=O","1"
"HMDB0001906","2-Aminoisobutyric acid","HMDB0001906","6119","C03665","CC(C)(N)C(O)=O","1"
"HMDB0002166","(S)-beta-Aminoisobutyric acid","HMDB0002166","439434","C03284","C[C@@H](CN)C(O)=O","1"
"HMDB0002299","(R)-beta-Aminoisobutyric acid","HMDB0002299","5459822","C01205","C[C@H](CN)C(O)=O","1"
"HMDB0003911","3-Aminoisobutanoic acid","HMDB0003911","64956","C05145","CC(CN)C(O)=O","1"
"HMDB0005815","NA","NA","NA","NA","NA","0"
"HMDB0031329","Butyl nitrite","HMDB0031329","10996",NA,"CCCCON=O","1"
"HMDB0031654","3-Aminobutanoic acid","HMDB0031654","10932",NA,"CC(N)CC(O)=O","1"
"HMDB0038394","O-Acetylethanolamine","HMDB0038394","112720",NA,"CC(=O)OCCN","1"
"HMDB0041945","N-Ethylglycine","HMDB0041945","6992079","C11735","CCNCC(O)=O","1"
"HMDB0094692","N-Methylalanine","HMDB0094692","5288725","C02721","[H][C@@](C)(NC)C(O)=O","1"
"HMDB0094693","NA","NA","NA","NA","NA","0"
"CHEBI:15620","NA","NA","NA","NA","NA","0"
"CHEBI:16320","NA","NA","NA","NA","NA","0"
"CHEBI:16865","NA","NA","NA","NA","NA","0"
"CHEBI:17519","NA","NA","NA","NA","NA","0"
"CHEBI:17724","NA","NA","NA","NA","NA","0"
"CHEBI:27389","NA","NA","NA","NA","NA","0"
"CHEBI:27971","NA","NA","NA","NA","NA","0"
"CHEBI:28797","NA","NA","NA","NA","NA","0"
"CHEBI:33094","NA","NA","NA","NA","NA","0"
"CHEBI:35619","NA","NA","NA","NA","NA","0"
"CHEBI:35621","NA","NA","NA","NA","NA","0"
"CHEBI:37081","NA","NA","NA","NA","NA","0"
"CHEBI:46643","NA","NA","NA","NA","NA","0"
"CHEBI:57440","NA","NA","NA","NA","NA","0"
"CHEBI:57731","NA","NA","NA","NA","NA","0"
"CHEBI:58175","NA","NA","NA","NA","NA","0"
"CHEBI:58251","NA","NA","NA","NA","NA","0"
"CHEBI:58655","NA","NA","NA","NA","NA","0"
"CHEBI:59888","NA","NA","NA","NA","NA","0"
"CHEBI:64739","NA","NA","NA","NA","NA","0"
"CHEBI:74359","NA","NA","NA","NA","NA","0"
"CHEBI:74687","NA","NA","NA","NA","NA","0"
"CHEBI:87997","NA","NA","NA","NA","NA","0"
"C00989","NA","NA","NA","NA","NA","0"
"C01089","NA","NA","NA","NA","NA","0"
"C01188","NA","NA","NA","NA","NA","0"
"C01991","NA","NA","NA","NA","NA","0"
"C03197","NA","NA","NA","NA","NA","0"
"C05984","NA","NA","NA","NA","NA","0"
"C06001","NA","NA","NA","NA","NA","0"
"C14601","NA","NA","NA","NA","NA","0"
"HMDB0000008","2-Hydroxybutyric acid","HMDB0000008","440864","C05984","CC[C@H](O)C(O)=O","1"
"HMDB0000011","3-Hydroxybutyric acid","HMDB0000011","441","C01089","C[C@@H](O)CC(O)=O","1"
"HMDB0000023","(S)-3-Hydroxyisobutyric acid","HMDB0000023","440873","C06001","C[C@@H](CO)C(O)=O","1"
"HMDB0000336","(R)-3-Hydroxyisobutyric acid","HMDB0000336","11217234",NA,"C[C@H](CO)C(O)=O","1"
"HMDB0000357","NA","NA","NA","NA","NA","0"
"HMDB0000435","NA","NA","NA","NA","NA","0"
"HMDB0000442","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","C03197","C[C@H](O)CC(O)=O","1"
"HMDB0000710","4-Hydroxybutyric acid","HMDB0000710","10413","C00989","OCCCC(O)=O","1"
"HMDB0000729","alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(O)C(O)=O","1"
"HMDB0000758","NA","NA","NA","NA","NA","0"
"HMDB0011597","NA","NA","NA","NA","NA","0"
"HMDB0015507","NA","NA","NA","NA","NA","0"
"HMDB0031212","Ethoxyacetic acid","HMDB0031212","12301",NA,"CCOCC(O)=O","1"
"HMDB0059748","NA","NA","NA","NA","NA","0"
"HMDB0062640","NA","NA","NA","NA","NA","0"
"HMDB0126088","NA","NA","NA","NA","NA","0"
"CHEBI:1148","NA","NA","NA","NA","NA","0"
"CHEBI:11805","NA","NA","NA","NA","NA","0"
"CHEBI:17066","NA","NA","NA","NA","NA","0"
"CHEBI:17290","NA","NA","NA","NA","NA","0"
"CHEBI:18064","NA","NA","NA","NA","NA","0"
"CHEBI:20067","NA","NA","NA","NA","NA","0"
"CHEBI:30830","NA","NA","NA","NA","NA","0"
"CHEBI:37373","NA","NA","NA","NA","NA","0"
"CHEBI:37551","NA","NA","NA","NA","NA","0"
"CHEBI:50129","NA","NA","NA","NA","NA","0"
"CHEBI:50612","NA","NA","NA","NA","NA","0"
"CHEBI:50613","NA","NA","NA","NA","NA","0"
"CHEBI:741468","NA","NA","NA","NA","NA","0"
"CHEBI:74611","NA","NA","NA","NA","NA","0"
"CHEBI:83221","NA","NA","NA","NA","NA","0"
"CHEBI:83222","NA","NA","NA","NA","NA","0"
"C00065","NA","NA","NA","NA","NA","0"
"C00716","NA","NA","NA","NA","NA","0"
"C00740","NA","NA","NA","NA","NA","0"
"HMDB0000187","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"HMDB0000589","NA","NA","NA","NA","NA","0"
"HMDB0003406","D-Serine","HMDB0003406","71077","C00740","N[C@H](CO)C(O)=O","1"
"HMDB0062263","NA","NA","NA","NA","NA","0"
"CHEBI:16523","NA","NA","NA","NA","NA","0"
"CHEBI:17115","NA","NA","NA","NA","NA","0"
"CHEBI:17822","NA","NA","NA","NA","NA","0"
"CHEBI:33384","NA","NA","NA","NA","NA","0"
"CHEBI:35243","NA","NA","NA","NA","NA","0"
"CHEBI:35247","NA","NA","NA","NA","NA","0"
"CHEBI:49042","NA","NA","NA","NA","NA","0"
"C00258","NA","NA","NA","NA","NA","0"
"HMDB0000139","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"HMDB0006372","L-Glyceric acid","HMDB0006372","6326776",NA,"OC[C@H](O)C(O)=O","1"
"HMDB0031818","NA","NA","NA","NA","NA","0"
"CHEBI:32398","NA","NA","NA","NA","NA","0"
"CHEBI:33508","NA","NA","NA","NA","NA","0"
"CHEBI:74324","NA","NA","NA","NA","NA","0"
"C14403","NA","NA","NA","NA","NA","0"
"C15562","NA","NA","NA","NA","NA","0"
"HMDB0029734","3-Ethylpyridine","HMDB0029734","10823",NA,"CCC1=CC=CN=C1","1"
"HMDB0032244","2,4-Dimethylpyridine","HMDB0032244","7936",NA,"CC1=CC(C)=NC=C1","1"
"HMDB0032972","2,6-Dimethylpyridine","HMDB0032972","7937",NA,"CC1=CC=CC(C)=N1","1"
"HMDB0033871","Benzylamine","HMDB0033871","7504","C15562","NCC1=CC=CC=C1","1"
"HMDB0041965","O-Toluidine","HMDB0041965","7242","C14403","CC1=CC=CC=C1N","1"
"CHEBI:127904","NA","NA","NA","NA","NA","0"
"CHEBI:32548","NA","NA","NA","NA","NA","0"
"CHEBI:40538","NA","NA","NA","NA","NA","0"
"CHEBI:66892","NA","NA","NA","NA","NA","0"
"C00090","NA","NA","NA","NA","NA","0"
"C00530","NA","NA","NA","NA","NA","0"
"C01751","NA","NA","NA","NA","NA","0"
"C01785","NA","NA","NA","NA","NA","0"
"C11115","NA","NA","NA","NA","NA","0"
"C15571","NA","NA","NA","NA","NA","0"
"HMDB0000957","Pyrocatechol","HMDB0000957","289","C00090","OC1=CC=CC=C1O","1"
"HMDB0002434","Hydroquinone","HMDB0002434","785","C00530","OC1=CC=C(O)C=C1","1"
"HMDB0031180","(E,E)-2,4-Hexadienedial","HMDB0031180","11412357",NA,"O=C\C=C\C=C/C=O","1"
"HMDB0032037","1,3-Benzenediol","HMDB0032037","5054","C01751","OC1=CC(O)=CC=C1","1"
"HMDB0033002","5-Methyl-2-furancarboxaldehyde","HMDB0033002","12097","C11115","CC1=CC=C(O1)C=O","1"
"HMDB0033127","2-Acetylfuran","HMDB0033127","14505",NA,"CC(=O)C1=CC=CO1","1"
"CHEBI:17594","NA","NA","NA","NA","NA","0"
"CHEBI:18135","NA","NA","NA","NA","NA","0"
"CHEBI:27810","NA","NA","NA","NA","NA","0"
"CHEBI:59983","NA","NA","NA","NA","NA","0"
"C01546","NA","NA","NA","NA","NA","0"
"HMDB0000444","3-Furoic acid","HMDB0000444","10268",NA,"OC(=O)C1=COC=C1","1"
"HMDB0000617","2-Furoic acid","HMDB0000617","6919","C01546","OC(=O)C1=CC=CO1","1"
"HMDB0032994","3-Hydroxy-2H-pyran-2-one","HMDB0032994","68130",NA,"OC1=CC=COC1=O","1"
"HMDB0039437","NA","NA","NA","NA","NA","0"
"CHEBI:30845","NA","NA","NA","NA","NA","0"
"CHEBI:30846","NA","NA","NA","NA","NA","0"
"C00596","NA","NA","NA","NA","NA","0"
"C07091","NA","NA","NA","NA","NA","0"
"HMDB0031859","Norfuraneol","HMDB0031859","4564493",NA,"CC1=C(O)C(=O)CO1","1"
"HMDB0060461","cis-Acetylacrylate","HMDB0060461","5281015","C07091","[H]\C(=C(/[H])C(O)=O)C(C)=O","1"
"CHEBI:1113","NA","NA","NA","NA","NA","0"
"CHEBI:18355","NA","NA","NA","NA","NA","0"
"CHEBI:28993","NA","NA","NA","NA","NA","0"
"CHEBI:37318","NA","NA","NA","NA","NA","0"
"CHEBI:48643","NA","NA","NA","NA","NA","0"
"CHEBI:74456","NA","NA","NA","NA","NA","0"
"CHEBI:87123","NA","NA","NA","NA","NA","0"
"CHEBI:87587","NA","NA","NA","NA","NA","0"
"C00429","NA","NA","NA","NA","NA","0"
"C02512","NA","NA","NA","NA","NA","0"
"C02565","NA","NA","NA","NA","NA","0"
"C02777","NA","NA","NA","NA","NA","0"
"C08311","NA","NA","NA","NA","NA","0"
"HMDB0000076","Dihydrouracil","HMDB0000076","649","C00429","O=C1CCNC(=O)N1","1"
"HMDB0003646","N-Methylhydantoin","HMDB0003646","69217","C02565","CN1CC(=O)NC1=O","1"
"HMDB0060245","NA","NA","NA","NA","NA","0"
"CHEBI:15901","NA","NA","NA","NA","NA","0"
"CHEBI:16354","NA","NA","NA","NA","NA","0"
"CHEBI:16535","NA","NA","NA","NA","NA","0"
"CHEBI:16934","NA","NA","NA","NA","NA","0"
"CHEBI:32664","NA","NA","NA","NA","NA","0"
"CHEBI:50347","NA","NA","NA","NA","NA","0"
"CHEBI:50349","NA","NA","NA","NA","NA","0"
"CHEBI:7035","NA","NA","NA","NA","NA","0"
"CHEBI:71209","NA","NA","NA","NA","NA","0"
"CHEBI:77860","NA","NA","NA","NA","NA","0"
"C00122","NA","NA","NA","NA","NA","0"
"C01384","NA","NA","NA","NA","NA","0"
"C02150","NA","NA","NA","NA","NA","0"
"HMDB0000134","Fumaric acid","HMDB0000134","444972","C00122","OC(=O)\C=C\C(O)=O","1"
"HMDB0000176","Maleic acid","HMDB0000176","444266","C01384","OC(=O)\C=C/C(O)=O","1"
"CHEBI:17453","NA","NA","NA","NA","NA","0"
"CHEBI:18012","NA","NA","NA","NA","NA","0"
"CHEBI:18300","NA","NA","NA","NA","NA","0"
"CHEBI:22958","NA","NA","NA","NA","NA","0"
"CHEBI:30031","NA","NA","NA","NA","NA","0"
"C01585","NA","NA","NA","NA","NA","0"
"C02948","NA","NA","NA","NA","NA","0"
"C03739","NA","NA","NA","NA","NA","0"
"C12293","NA","NA","NA","NA","NA","0"
"C12304","NA","NA","NA","NA","NA","0"
"C12313","NA","NA","NA","NA","NA","0"
"HMDB0000535","Caproic acid","HMDB0000535","8892","C01585","CCCCCC(O)=O","1"
"HMDB0000689","Isocaproic acid","HMDB0000689","12587",NA,"CC(C)CCC(O)=O","1"
"HMDB0029762","Methyl (S)-2-Methylbutanoate","HMDB0029762","13357",NA,"CCC(C)C(=O)OC","1"
"HMDB0030027","Methyl 3-methylbutanoate","HMDB0030027","11160",NA,"COC(=O)CC(C)C","1"
"HMDB0030056","Isopropyl propionate","HMDB0030056","12508",NA,"CCC(=O)OC(C)C","1"
"HMDB0030059","Propyl propionate","HMDB0030059","7803",NA,"CCCOC(=O)CC","1"
"HMDB0031207","Methyl pentanoate","HMDB0031207","12206",NA,"CCCCC(=O)OC","1"
"HMDB0031221","2-Ethylbutanoic acid","HMDB0031221","6915",NA,"CCC(CC)C(O)=O","1"
"HMDB0031246","2-Methylpropyl acetate","HMDB0031246","8038",NA,"CC(C)COC(C)=O","1"
"HMDB0031248","Ethyl 2-methylpropanoate","HMDB0031248","7342",NA,"CCOC(=O)C(C)C","1"
"HMDB0031325","n-Butyl acetate","HMDB0031325","31272","C12304","CCCCOC(C)=O","1"
"HMDB0031511","Diacetone alcohol","HMDB0031511","31256",NA,"CC(=O)CC(C)(C)O","1"
"HMDB0031580","(±)-2-Methylpentanoic acid","HMDB0031580","7341",NA,"CCCC(C)C(O)=O","1"
"HMDB0033774","3-Methylpentanoic acid","HMDB0033774","7755",NA,"CCC(C)CC(O)=O","1"
"HMDB0033889","Ethyl butyrate","HMDB0033889","7762",NA,"CCCC(=O)OCC","1"
"HMDB0034163","3-Methylbutyl formate","HMDB0034163","8052","C12293","CC(C)CCOC=O","1"
"HMDB0037266","2,2,4-Trimethyl-1,3-dioxolane","HMDB0037266","62384",NA,"CC1COC(C)(C)O1","1"
"HMDB0040279","2,4,5-Trimethyl-1,3-dioxolane","HMDB0040279","102967",NA,"CC1OC(C)C(C)O1","1"
"HMDB0040327","Pentyl formate","HMDB0040327","12529",NA,"CCCCCOC=O","1"
"HMDB0061883","NA","NA","NA","NA","NA","0"
"CHEBI:167422","NA","NA","NA","NA","NA","0"
"CHEBI:16931","NA","NA","NA","NA","NA","0"
"CHEBI:17120","NA","NA","NA","NA","NA","0"
"CHEBI:18351","NA","NA","NA","NA","NA","0"
"CHEBI:24567","NA","NA","NA","NA","NA","0"
"CHEBI:30776","NA","NA","NA","NA","NA","0"
"CHEBI:31328","NA","NA","NA","NA","NA","0"
"CHEBI:31726","NA","NA","NA","NA","NA","0"
"CHEBI:32329","NA","NA","NA","NA","NA","0"
"CHEBI:38647","NA","NA","NA","NA","NA","0"
"CHEBI:38649","NA","NA","NA","NA","NA","0"
"CHEBI:38650","NA","NA","NA","NA","NA","0"
"CHEBI:38651","NA","NA","NA","NA","NA","0"
"CHEBI:38652","NA","NA","NA","NA","NA","0"
"CHEBI:410868","NA","NA","NA","NA","NA","0"
"CHEBI:50569","NA","NA","NA","NA","NA","0"
"CHEBI:55381","NA","NA","NA","NA","NA","0"
"CHEBI:74903","NA","NA","NA","NA","NA","0"
"CHEBI:78816","NA","NA","NA","NA","NA","0"
"CHEBI:78817","NA","NA","NA","NA","NA","0"
"CHEBI:87303","NA","NA","NA","NA","NA","0"
"CHEBI:87317","NA","NA","NA","NA","NA","0"
"CHEBI:87526","NA","NA","NA","NA","NA","0"
"CHEBI:87572","NA","NA","NA","NA","NA","0"
"CHEBI:87595","NA","NA","NA","NA","NA","0"
"C00463","NA","NA","NA","NA","NA","0"
"C16074","NA","NA","NA","NA","NA","0"
"HMDB0000738","Indole","HMDB0000738","798","C00463","N1C=CC2=C1C=CC=C2","1"
"HMDB0034171","Benzeneacetonitrile","HMDB0034171","8794","C16074","N#CCC1=CC=CC=C1","1"
"CHEBI:16881","NA","NA","NA","NA","NA","0"
"CHEBI:25979","NA","NA","NA","NA","NA","0"
"C00183","NA","NA","NA","NA","NA","0"
"C00431","NA","NA","NA","NA","NA","0"
"C00719","NA","NA","NA","NA","NA","0"
"C01799","NA","NA","NA","NA","NA","0"
"C01826","NA","NA","NA","NA","NA","0"
"C03571","NA","NA","NA","NA","NA","0"
"C06417","NA","NA","NA","NA","NA","0"
"C07457","NA","NA","NA","NA","NA","0"
"C15987","NA","NA","NA","NA","NA","0"
"C16436","NA","NA","NA","NA","NA","0"
"HMDB0000043","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"HMDB0000883","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"HMDB0001382","Vaporole","HMDB0001382","8053","C07457","CC(C)CCON=O","1"
"HMDB0002141","N-Methyl-a-aminoisobutyric acid","HMDB0002141","6951124",NA,"CNC(C)(C)C(O)=O","1"
"HMDB0003355","5-Aminopentanoic acid","HMDB0003355","138","C00431","NCCCCC(O)=O","1"
"HMDB0013716","Norvaline","HMDB0013716","439575","C01799","CCC[C@@H](N)C(O)=O","1"
"HMDB0015550","Amyl Nitrite","HMDB0015550","10026","C07457","CCCCCON=O","1"
"HMDB0034366","NA","NA","NA","NA","NA","0"
"CHEBI:15887","NA","NA","NA","NA","NA","0"
"CHEBI:16414","NA","NA","NA","NA","NA","0"
"CHEBI:17750","NA","NA","NA","NA","NA","0"
"CHEBI:18314","NA","NA","NA","NA","NA","0"
"CHEBI:19475","NA","NA","NA","NA","NA","0"
"CHEBI:2691","NA","NA","NA","NA","NA","0"
"CHEBI:27266","NA","NA","NA","NA","NA","0"
"CHEBI:27477","NA","NA","NA","NA","NA","0"
"CHEBI:28804","NA","NA","NA","NA","NA","0"
"CHEBI:356010","NA","NA","NA","NA","NA","0"
"CHEBI:37755","NA","NA","NA","NA","NA","0"
"CHEBI:42955","NA","NA","NA","NA","NA","0"
"CHEBI:52093","NA","NA","NA","NA","NA","0"
"CHEBI:55344","NA","NA","NA","NA","NA","0"
"CHEBI:57762","NA","NA","NA","NA","NA","0"
"CHEBI:58441","NA","NA","NA","NA","NA","0"
